"temp","mltss","sludge_prod"
15,2500,2698.71442080658
15,2525,2693.01363242899
15,2550,2687.25123820839
15,2575,2681.44400301903
15,2600,2675.60555829739
15,2625,2669.74700091012
15,2650,2663.87750888997   
15,2675,2658.00467688892
15,2700,2652.13484736811
15,2725,2646.27334022905
15,2750,2640.4246263706
15,2775,2634.59244802417
15,2800,2628.78014337647
15,2825,2622.99031304511
15,2850,2617.22532663204
15,2875,2611.48716726536
15,2900,2605.77753027802
15,2925,2600.0978640153
15,2950,2594.44940195659
15,2975,2588.83333988141
15,3000,2583.25015160619
15,3025,2577.70101625451
15,3050,2572.1864336835
15,3075,2566.70693949078
15,3100,2561.26298034484
15,3125,2555.85491859514
15,3150,2550.48304952006
15,3175,2545.14777860186
15,3200,2539.84877810919
15,3225,2534.58665860414
15,3250,2529.36140366066
15,3275,2524.17301514459
15,3300,2519.02148003114
15,3325,2513.90685044104
15,3350,2508.82901255369
15,3375,2503.78785751715
15,3400,2498.78365064826
15,3425,2493.81547559199
15,3450,2488.88434880128
15,3475,2483.98926186962
15,3500,2479.13031758364
15,3525,2474.30735192643
15,3550,2469.52018408033
15,3575,2464.76863937162
15,3600,2460.05249006045
15,3625,2455.37139417306
15,3650,2450.7256747269
15,3675,2446.11448319446
15,3700,2441.53788521334
15,3725,2436.99563357937
15,3750,2432.4874652381
15,3775,2428.01316961849
15,3800,2423.5724917377
15,3825,2419.16522257986
15,3850,2414.79102374119
15,3875,2410.44975388119
15,3900,2406.14112319884
15,3925,2401.86494393111
15,3950,2397.62076757372
15,3975,2393.40981316337
15,4000,2389.2279643322
15.1,2500,2692.23697019799
15.1,2525,2686.41577776138
15.1,2550,2680.54874981417
15.1,2575,2674.64992137419
15.1,2600,2668.73075872588
15.1,2625,2662.80071459335
15.1,2650,2656.86748102312
15.1,2675,2650.93766928863
15.1,2700,2645.0166524066
15.1,2725,2639.10902595793
15.1,2750,2633.21862985499
15.1,2775,2627.3487703049
15.1,2800,2621.50217559476
15.1,2825,2615.68122016565
15.1,2850,2609.88790853285
15.1,2875,2604.12395909853
15.1,2900,2598.39085839416
15.1,2925,2592.68981229947
15.1,2950,2587.02181780648
15.1,2975,2581.38800467562
15.1,3000,2575.7889006991
15.1,3025,2570.2252320602
15.1,3050,2564.69749166375
15.1,3075,2559.2061631652
15.1,3100,2553.75158878531
15.1,3125,2548.3340529226
15.1,3150,2542.95379834077
15.1,3175,2537.61097633696
15.1,3200,2532.30571479518
15.1,3225,2527.03809099136
15.1,3250,2521.8081441469
15.1,3275,2516.6158476253
15.1,3300,2511.46112002881
15.1,3325,2506.34428118825
15.1,3350,2501.26478574489
15.1,3375,2496.22238789063
15.1,3400,2491.21801921689
15.1,3425,2486.25040123562
15.1,3450,2481.31986350393
15.1,3475,2476.42610544727
15.1,3500,2471.56913908596
15.1,3525,2466.74861208683
15.1,3550,2461.96436755299
